day,weth_balance,usdc_balance,weth_usd,usdc_usd,tvl,tvl_change,liquidity_flow,prev_tvl_change,prev_flow,tvl_ma_3d,tvl_ma_7d,tvl_ma_30d,tvl_momentum,pool_ratio,tvl_volatility_7d,day_of_week,month,pct_from_ma7
2024-12-31 00:00:00+00:00,22110.36445904123,61390686.39133957,74433412.63378854,61430233.077805065,135863645.7115936,-757554.2788602412,0,-28217946.17798108,0.0,145774663.9568275,155525430.17144355,139626771.99700496,-19661784.459849954,0.5478537856388241,13219893.879286401,1,12,-12.642166903621982
2025-01-01 00:00:00+00:00,21827.442119944448,63052291.97091523,72974654.22559606,63101295.64301303,136075949.86860907,212304.15701547265,1,-757554.2788602412,0.0,136186931.85688552,151457159.81860763,140129741.6000564,-15381209.949998558,0.5362788523325263,14314956.38149129,2,1,-10.155485530310903
2025-01-02 00:00:00+00:00,19949.407974512855,69317036.42036006,68540464.98002245,69336928.24365544,137877393.22367787,1801443.3550688028,1,212304.15701547265,1.0,136605662.93462685,147993170.9548476,140683055.6392402,-10115777.73116973,0.4971116974109712,14236770.732414005,3,1,-6.835300349268164
2025-01-03 00:00:00+00:00,17105.042525376557,80162029.6513727,60012267.221969314,80173860.50925587,140186127.7312252,2308734.507547319,1,1801443.3550688028,1.0,138046490.27450407,144841135.10934868,140021991.36011443,-4655007.378123492,0.42808991298360916,12937339.29475434,4,1,-3.2138710971915305
2025-01-04 00:00:00+00:00,15602.107372215658,78915112.13140044,56412483.82651664,78922432.3300831,135334916.15659976,-4851211.5746254325,0,2308734.507547319,1.0,137799479.03716764,140971196.97865632,138921651.7993174,-5636280.822056562,0.41683613828999017,10650568.165120171,5,1,-3.9981790201511305
2025-01-05 00:00:00+00:00,16317.389185056163,80150826.44852713,59261717.83981221,80171077.61237502,139432795.45218724,4097879.29558748,1,-4851211.5746254325,0.0,138317946.44667074,137341718.30490667,139700668.86965144,2091077.1472805738,0.4250199362899067,1874543.7697191816,6,1,1.5225360313595757
2025-01-06 00:00:00+00:00,15537.659307516602,82914161.99715015,56957916.42186044,82915893.69397101,139873810.11583143,441014.6636441946,1,4097879.29558748,1.0,138213840.57487285,137806376.8942463,140091736.2005407,2067433.2215851247,0.40720930083117635,2060116.3046667564,0,1,1.50024495830965
2025-01-07 00:00:00+00:00,21735.743973580727,62112118.2299867,77765007.43568517,62133035.13280186,139898042.56848705,24232.452655613422,1,441014.6636441946,1.0,139734882.7121686,138382719.30237395,140932289.934959,1515323.2661131024,0.5558691601965434,1989143.1144016685,1,1,1.0950234781859118
2025-01-08 00:00:00+00:00,22622.587978019976,58828184.89532605,75623784.68621446,58860070.99712662,134483855.6833411,-5414186.885145962,0,24232.452655613422,1.0,138085236.1225532,138155277.2759071,141743823.71090204,-3671421.5925660133,0.5623261193840251,2354357.1362075987,2,1,-2.6574602613506335
2025-01-09 00:00:00+00:00,24186.843647309128,54854935.35558316,79517428.89250411,54887404.715600714,134404833.60810485,-79022.07523623109,0,-5414186.885145962,0.0,136262243.95331103,137659197.33082524,142570985.8834341,-3254363.7227203846,0.5916262589510701,2754509.215944913,3,1,-2.3640728595122016
