day,weth_balance,usdc_balance,weth_usd,usdc_usd,tvl
2025-04-28 00:00:00.000 UTC,43628.97314498639,31118885.226427227,78113304.42941423,31124273.547845583,109237577.9772598
2025-04-29 00:00:00.000 UTC,44139.30424128294,30942746.541955143,80055708.9838453,30950792.5155768,111006501.4994221
2025-04-30 00:00:00.000 UTC,43913.91368552747,30530075.550877005,78759991.4913156,30547971.475510187,109307962.96682578
2025-05-01 00:00:00.000 UTC,41799.76507146757,33706714.284320265,76577922.87752831,33719206.25011581,110297129.12764412
2025-05-02 00:00:00.000 UTC,41669.411724778896,33773004.76376405,76688600.9196145,33783220.15956608,110471821.07918055
2025-05-03 00:00:00.000 UTC,42068.80672692212,33481415.017484818,77123812.89226201,33499294.20935899,110623107.101621
2025-05-04 00:00:00.000 UTC,43425.75482745499,31589512.3392978,79629477.91826543,31622127.523615897,111251605.44188131
2025-05-05 00:00:00.000 UTC,42952.11933777244,32427265.002118617,77883972.8729456,32465258.72242344,110349231.59536904
2025-05-06 00:00:00.000 UTC,42715.17371502794,30413357.484303027,76520915.86868101,30437479.18405957,106958395.0527406
2025-05-07 00:00:00.000 UTC,40782.37179620414,31528999.56123725,74377673.2910362,31542638.480964147,105920311.77200034
2025-05-08 00:00:00.000 UTC,18745.761246423368,73276389.01249304,37157263.43941044,73284599.53010927,110441862.9695197
2025-05-09 00:00:00.000 UTC,19730.070308889975,70937413.82930484,45369853.63873565,70936290.8998965,116306144.53863215
2025-05-10 00:00:00.000 UTC,16289.750029499366,71890708.6786057,39407848.78869064,71874347.05224799,111282195.84093864
2025-05-11 00:00:00.000 UTC,18138.946629812315,71008778.6561648,45564955.2060216,70996757.21511972,116561712.42114133
2025-05-12 00:00:00.000 UTC,19345.481606398753,67532903.05238119,48648812.75319796,67516282.68906356,116165095.44226152
2025-05-13 00:00:00.000 UTC,18760.72487269375,75687983.26852098,47602238.633543804,75672237.01433504,123274475.64787884
2025-05-14 00:00:00.000 UTC,20622.65599770237,70797599.60825554,54088582.28798725,70808351.01039602,124896933.29838328
2025-05-15 00:00:00.000 UTC,21636.752505488857,66064369.55959478,55411365.5591197,66098330.77457154,121509696.33369124
2025-05-16 00:00:00.000 UTC,22560.91886206843,65810908.54188427,58342724.96833137,65834980.02423393,124177704.9925653
2025-05-17 00:00:00.000 UTC,22764.197339874096,63504068.65319595,56551716.95283248,63535992.45720824,120087709.41004072
2025-05-18 00:00:00.000 UTC,22295.779470402093,64083302.00899729,55583978.19294469,64111479.08087229,119695457.27381696
2025-05-19 00:00:00.000 UTC,21274.03027998208,64953724.47668466,52001064.37395153,64971579.75936903,116972644.13332056
2025-05-20 00:00:00.000 UTC,21457.381556038512,64973326.80506417,54028376.96377247,64987524.15377656,119015901.11754905
2025-05-21 00:00:00.000 UTC,20899.11642602064,65982605.02229157,53071880.96024534,65990027.607143976,119061908.56738932
2025-05-22 00:00:00.000 UTC,18709.66993649531,71883711.16231659,49353476.29621588,71878682.79688229,121232159.09309816
2025-05-23 00:00:00.000 UTC,18619.2238649308,64579751.44433263,48764300.70696308,64591955.44770894,113356256.15467204
2025-05-24 00:00:00.000 UTC,18554.8632051537,64920684.45476046,47332474.819101915,64932602.810415,112265077.62951691
2025-05-25 00:00:00.000 UTC,18165.040728158463,65920374.34813538,45621150.36402819,65941414.39206195,111562564.75609016
2025-05-26 00:00:00.000 UTC,18180.314620379184,66594667.033774346,46554849.28236284,66603016.57138529,113157865.85374811
2025-05-27 00:00:00.000 UTC,16332.317001130374,70778250.45325127,42920820.395347394,70785636.21283773,113706456.60818513
2025-05-28 00:00:00.000 UTC,15662.361273427712,71812645.16644147,41420960.15334909,71825377.19934027,113246337.35268936
2025-05-29 00:00:00.000 UTC,16767.064512807076,69427823.12295517,45179574.916277304,69444015.95735444,114623590.87363176
2025-05-30 00:00:00.000 UTC,18676.908640022782,64506960.928078204,48571667.95714783,64533443.947311595,113105111.90445942
2025-05-31 00:00:00.000 UTC,17391.0838722291,64471707.283880115,43996358.29863772,64509835.58293565,108506193.88157338
2025-06-01 00:00:00.000 UTC,18311.24407052315,64931171.80689216,46113769.903683454,64968576.89641747,111082346.80010092
2025-06-02 00:00:00.000 UTC,16920.578186525334,68629197.13692728,42694116.859135486,68653738.03229938,111347854.89143488
2025-06-03 00:00:00.000 UTC,17126.787849045428,67732926.23762414,44803064.4925652,67753387.69612607,112556452.18869127
2025-06-04 00:00:00.000 UTC,16754.688356349263,68230698.92724177,44042651.940246925,68250820.34988512,112293472.29013205
2025-06-05 00:00:00.000 UTC,19935.6011417748,60110391.94069865,51370207.23134217,60135885.008380614,111506092.2397228
2025-06-06 00:00:00.000 UTC,19100.039160595745,62483274.73868939,47286787.32309663,62521543.14099711,109808330.46409374
2025-06-07 00:00:00.000 UTC,18263.372766875345,64516504.12164983,45725983.56720988,64549910.22984654,110275893.7970564
2025-06-08 00:00:00.000 UTC,18570.768280536347,63771149.84243545,46789362.77488937,63805670.184412144,110595032.95930152
2025-06-09 00:00:00.000 UTC,15519.388757894692,73214774.67005607,39447020.68451717,73237405.66196822,112684426.34648538
2025-06-10 00:00:00.000 UTC,13168.689814935384,80378871.58023807,35893207.84409261,80379247.79801203,116272455.64210464
